idx,RSI
9,65.14
10,77.87
11,69.18
12,55.09
13,32.94
14,21.45
15,24.63
16,21.58
17,18.68
18,2.4
19,21.1
20,29.66
21,32.63
22,36.95
23,46.91
24,41.78
25,45.31
26,34.45
27,44.22
28,19.34
29,18.77
30,35.67
31,30.2
32,30.27
33,25.06
34,26.84
35,30.75
36,28.93
37,28.66
38,32.83
39,27.19
40,31.52
41,34.47
42,57.15
43,44.13
44,35.08
45,41.37
46,55.76
47,45.41
48,41.95
49,36.95
50,48.92
51,57.15
52,62.64
53,81.79
54,83.74
55,79.65
56,86.88
57,86.34
58,89.06
59,80.38
60,71.38
61,71.14
62,63.67
63,66.44
64,65.31
65,44.95
66,50.08
67,55.1
68,65.17
69,65.91
70,57.49
71,50.07
72,17.92
73,32.33
74,42.17
75,37.18
76,42.89
77,42.49
78,45.91
79,45.52
80,49.05
81,65.35
82,59.58
83,48.34
84,42.21
85,31.22
86,36.89
87,25.4
88,28.41
89,25.42
90,41.32
91,40.52
92,53.23
93,71.41
94,65.42
95,59.96
96,51.03
97,50.25
98,52.49
99,49.48
100,37.87
101,24.66
102,31.55
103,36.9
104,44.14
105,57.93
106,63.7
107,66.41
108,65.1
109,70.25
110,67.86
111,52.64
112,56.58
113,52.58
114,43.07
115,27.73
116,39.55
117,28.92
118,39.5
119,36.5
120,40.73
121,45.81
122,39.95
123,39.72
124,46.69
125,42.31
126,58.9
127,49.02
128,58.77
129,65.92
130,58.65
131,67.38
132,68.99
133,85.58
134,84.86
135,79.07
136,81.55
137,73.95
138,73.56
139,58.04
140,45.87
141,41.03
142,28.92
143,33.61
144,30.66
145,34.52
146,44.02
147,38.47
148,47.7
149,56.89
150,62.21
151,87.72
152,76.13
153,86.83
154,89.03
155,90.01
156,75.64
157,69.36
158,68.8
159,63.29
160,58.59
161,69.87
162,70.0
163,65.23
164,52.23
165,78.91
166,84.39
167,56.48
168,68.0
169,67.33
170,64.42
171,67.82
172,58.06
173,52.76
174,43.93
175,51.92
176,59.62
177,33.81
178,20.64
179,13.98
180,6.32
181,5.83
182,16.82
183,26.56
184,21.43
185,18.33
186,20.49
187,43.67
188,40.92
189,45.03
190,51.95
191,51.18
192,42.16
193,37.84
194,45.64
195,43.18
196,19.72
197,15.12
198,24.39
199,26.4
200,18.51
201,17.63
202,31.07
203,36.36
204,39.93
205,49.18
206,65.32
207,61.07
208,67.37
209,83.65
210,94.1
211,86.62
212,83.76
213,77.71
214,78.53
215,81.85
216,77.06
217,64.57
218,35.84
219,20.62
