idx,RSI
9,70.02
10,54.54
11,66.23
12,92.9
13,91.63
14,92.67
15,83.64
16,61.58
17,61.98
18,69.96
19,63.88
20,39.34
21,42.62
22,31.84
23,22.56
24,25.57
25,29.01
26,19.06
27,5.32
28,10.08
29,10.31
30,22.11
31,35.58
32,28.17
33,23.09
34,22.65
35,24.7
36,29.56
37,31.96
38,29.07
39,15.26
40,16.27
41,17.62
42,27.29
43,41.4
44,43.41
45,39.28
46,26.19
47,26.68
48,39.72
49,33.14
50,34.26
51,28.8
52,31.05
53,25.61
54,27.18
55,42.76
56,54.12
57,40.93
58,50.1
59,43.07
60,42.7
61,32.82
62,36.43
63,29.11
64,15.57
65,32.17
66,31.55
67,29.01
68,50.09
69,56.61
70,60.86
71,58.1
72,71.66
73,80.3
74,79.74
75,85.23
76,70.16
77,62.69
78,61.94
79,53.27
80,65.73
81,65.67
82,59.49
83,52.3
84,43.63
85,63.37
86,62.07
87,62.59
88,60.47
89,52.07
90,46.33
91,33.21
92,28.53
93,51.62
94,47.72
95,55.17
96,64.46
97,77.34
98,65.5
99,70.57
100,69.22
101,53.75
102,39.1
103,37.2
104,42.37
105,25.69
106,37.68
107,44.24
108,44.62
109,42.76
110,49.24
111,58.47
112,48.66
113,30.94
114,30.57
115,19.83
116,20.31
117,18.01
118,27.13
119,31.91
120,33.96
121,44.77
122,80.46
123,92.31
124,93.7
125,90.58
126,88.32
127,50.12
128,37.57
129,40.24
130,31.55
131,34.49
132,45.69
133,38.33
134,34.43
135,39.46
136,41.57
137,55.12
138,48.42
139,50.55
140,45.74
141,29.98
142,34.08
143,47.34
144,38.34
145,51.96
146,52.88
147,68.9
148,72.5
149,69.35
150,65.21
151,45.23
152,39.32
153,38.63
154,43.3
155,29.37
156,14.0
157,21.54
158,18.33
159,24.25
160,24.76
161,32.47
162,32.42
163,40.41
164,43.28
165,44.28
166,38.77
167,40.79
168,40.11
169,42.53
170,33.33
171,29.33
172,7.65
173,12.08
174,12.78
175,10.45
176,11.39
177,5.56
178,5.69
179,4.72
180,29.22
181,31.1
182,25.32
183,26.79
184,38.94
185,40.27
186,44.14
187,62.17
188,77.83
189,69.35
190,69.14
191,72.58
192,81.85
193,85.13
194,87.34
195,87.03
196,83.58
197,56.69
198,59.05
199,59.57
200,68.91
201,63.49
202,55.33
203,65.27
204,59.57
205,44.73
206,55.93
207,54.3
208,60.03
209,56.85
210,61.83
211,64.76
212,58.36
213,60.66
214,80.84
215,91.28
216,92.29
217,90.85
218,87.11
219,81.93
220,80.13
221,54.26
222,58.17
223,63.07
224,67.05
225,57.93
226,42.77
227,52.92
228,52.2
229,39.22
230,65.26
231,73.2
232,71.47
233,58.5
234,54.21
235,64.82
236,60.79
237,50.0
238,56.72
239,49.48
240,36.3
241,31.08
242,28.8
243,37.18
244,36.75
245,37.68
246,53.61
247,52.73
248,37.92
249,41.54
250,58.86
251,79.9
252,70.88
253,71.57
254,63.17
255,62.9
256,55.29
257,56.09
258,51.96
259,22.42
260,30.63
261,27.98
262,20.36
263,31.95
264,34.13
265,35.86
266,43.23
267,33.95
268,45.62
269,41.32
270,45.3
271,45.3
272,28.24
273,18.36
274,15.62
275,25.67
276,37.05
277,31.75
278,35.55
279,38.52
280,38.97
281,43.46
282,37.22
283,49.51
284,26.94
285,24.5
286,39.66
287,32.71
288,30.31
289,33.19
290,49.92
291,65.28
292,64.51
293,82.01
294,80.85
295,80.53
296,79.23
297,78.29
298,74.43
299,61.79
300,46.57
301,51.94
302,49.32
303,36.05
304,34.26
305,33.58
306,30.07
307,39.5
308,39.01
309,44.51
310,43.74
311,33.33
312,41.11
313,27.87
314,27.54
315,40.57
316,28.27
317,32.78
318,21.3
319,20.41
320,33.64
321,51.04
322,52.01
323,49.66
324,46.65
325,49.37
326,41.61
327,44.22
328,37.15
329,25.56
330,0.88
331,15.8
332,17.23
333,13.3
334,13.55
335,13.03
336,13.78
337,46.11
338,49.04
339,41.62
340,44.9
341,54.5
342,60.85
343,66.03
344,72.08
345,68.68
346,46.52
347,53.51
348,71.71
349,54.12
350,32.76
351,26.87
352,20.51
353,24.33
354,25.28
355,24.4
356,28.97
357,24.4
358,24.59
359,19.66
360,20.61
361,20.72
362,22.89
363,24.8
364,31.62
365,40.42
366,43.14
367,34.87
368,33.33
369,33.41
370,39.59
371,28.04
372,29.55
373,39.03
374,26.83
375,14.41
376,17.09
377,33.51
378,32.42
379,50.09
380,49.64
381,44.21
382,34.05
383,41.7
384,49.65
385,61.29
386,53.44
387,57.69
388,36.02
389,37.28
390,38.46
391,36.88
392,40.49
393,32.72
394,29.28
395,41.44
396,41.72
397,43.99
398,42.11
399,42.45
400,43.7
401,42.28
402,54.3
403,56.75
404,45.14
405,41.47
406,39.05
407,60.33
408,69.14
409,80.37
410,78.7
411,74.42
412,73.67
413,79.43
414,65.34
415,76.71
416,53.95
417,38.68
418,40.41
419,29.08
420,29.0
421,15.18
422,13.37
423,14.71
424,25.26
425,34.04
426,51.78
427,44.92
428,42.28
429,46.75
430,52.25
431,42.95
432,45.8
433,29.8
434,31.15
435,12.5
436,13.33
437,36.96
438,31.1
439,31.88
440,30.45
441,51.52
442,47.22
443,39.86
444,42.49
445,41.44
446,29.76
447,30.77
448,46.74
449,63.53
450,55.97
451,74.28
452,70.75
453,79.81
454,83.52
455,84.84
456,84.13
457,82.69
458,68.34
459,70.14
460,60.52
461,63.25
462,63.91
463,60.13
464,62.46
465,69.66
466,67.66
467,81.82
468,60.63
469,55.82
470,54.38
471,53.54
472,56.19
473,57.45
474,55.64
475,49.64
476,41.16
477,61.05
478,73.43
479,83.33
480,82.06
481,66.74
482,66.9
483,64.69
484,67.18
485,75.27
486,55.21
487,35.42
488,32.56
489,33.14
490,30.61
491,22.42
492,24.21
493,27.57
494,18.91
495,35.84
496,41.69
497,40.06
498,33.99
499,50.1
500,50.94
501,45.36
502,42.55
503,47.56
504,26.26
505,22.93
506,51.9
507,60.92
508,66.48
509,65.43
510,57.33
511,65.57
512,75.14
513,76.64
514,80.0
515,67.11
516,59.28
517,38.15
518,32.4
519,37.14
520,17.78
521,22.92
522,19.43
523,14.92
524,22.46
525,32.41
526,37.01
527,36.72
528,40.42
529,38.34
530,24.09
531,35.96
532,34.41
533,34.05
534,24.22
535,28.89
536,33.09
537,49.44
538,59.88
539,72.9
540,65.61
541,72.5
542,72.64
543,59.32
544,68.2
545,54.83
546,54.47
547,56.83
548,39.76
549,40.4
550,43.27
551,37.07
552,46.15
553,36.12
554,41.84
555,37.36
556,57.46
557,67.5
558,78.67
559,80.06
560,76.26
561,76.68
562,88.1
563,72.53
564,72.53
565,63.02
566,58.64
567,42.26
568,28.35
569,31.77
570,45.33
571,41.36
572,50.0
573,43.83
574,41.41
575,36.29
576,44.87
577,53.39
578,59.92
579,48.76
580,44.67
581,65.28
582,65.44
583,70.98
584,88.89
585,83.02
586,73.95
587,74.27
588,73.95
589,70.68
590,64.73
591,71.37
592,65.9
593,67.26
594,63.07
595,63.6
596,64.78
597,66.67
598,68.24
599,64.94
600,60.89
601,57.56
602,36.95
603,42.45
604,48.96
605,43.84
606,34.22
607,37.78
608,58.5
609,54.74
610,59.91
611,96.7
612,87.89
613,91.75
614,92.38
615,92.95
616,78.85
617,60.87
618,65.38
619,67.86
620,63.71
621,55.83
622,62.46
623,54.0
624,53.22
625,53.4
626,63.84
627,47.08
628,39.13
629,36.38
630,53.1
631,35.5
632,38.16
633,43.01
634,58.41
635,47.09
636,72.35
637,78.63
638,79.94
639,65.72
640,73.1
641,75.4
642,72.06
643,65.76
644,57.74
645,38.53
646,25.74
647,37.45
648,50.2
649,39.7
650,43.31
651,44.95
652,42.86
653,53.97
654,57.85
655,60.4
656,51.42
657,30.34
658,34.51
659,21.23
660,17.41
661,27.63
662,41.2
663,33.78
664,39.22
665,44.95
666,88.59
667,91.51
668,88.46
669,97.25
670,89.1
671,86.86
672,87.01
673,88.21
674,88.5
675,85.26
676,83.57
677,89.44
678,85.29
679,97.95
680,86.88
681,89.55
682,74.41
683,52.55
684,53.99
685,53.82
686,44.02
687,56.71
688,50.96
689,59.7
690,55.73
691,48.3
692,65.37
693,46.3
694,40.65
695,41.23
696,38.15
697,34.0
698,35.99
699,35.44
700,52.41
701,49.42
702,66.76
703,70.46
704,76.36
705,74.26
706,93.1
707,91.71
708,85.14
709,80.47
710,53.21
711,56.96
712,64.26
713,47.94
714,37.41
715,33.84
716,31.76
717,52.11
718,47.92
719,62.25
720,52.89
721,57.77
722,68.08
723,83.5
724,84.21
725,73.93
726,46.02
727,44.51
728,57.56
729,59.57
730,38.15
731,36.4
732,24.01
733,27.36
734,27.53
735,37.9
736,51.06
737,41.38
738,44.21
739,54.98
740,62.2
741,87.16
742,78.85
743,75.58
744,75.35
745,47.06
746,51.5
747,35.57
748,37.31
749,48.25
750,40.93
751,38.08
752,43.91
753,37.96
754,58.43
755,56.01
756,77.53
757,78.84
758,70.15
759,70.15
760,97.96
761,98.03
762,90.06
763,82.41
764,88.49
765,89.44
766,89.62
767,90.82
768,84.3
769,84.02
770,72.31
771,78.14
772,79.1
773,76.5
774,74.37
775,70.69
776,60.13
777,57.93
778,40.5
779,69.7
780,40.44
781,31.49
782,25.12
783,24.11
784,22.88
785,23.68
786,21.51
787,24.51
788,27.61
789,37.0
790,52.26
791,57.47
792,52.91
793,49.5
794,52.2
795,73.54
796,73.26
797,46.63
798,44.39
799,35.68
800,24.21
801,34.43
802,42.42
803,37.95
804,39.77
805,30.81
806,35.67
807,46.81
808,54.66
809,38.6
810,32.87
811,25.6
812,24.15
813,28.21
814,26.87
815,28.88
816,33.67
817,32.89
818,41.07
819,32.79
820,34.97
821,44.37
822,48.58
823,55.2
824,61.66
825,56.29
826,56.69
827,64.04
828,86.17
829,93.38
830,81.1
831,75.69
832,78.46
833,75.23
834,61.85
835,66.67
836,49.08
837,29.76
838,32.08
839,28.57
840,33.85
841,48.32
842,50.15
843,54.14
844,50.32
845,50.65
846,44.96
847,32.01
848,43.11
849,40.81
850,31.16
851,21.17
852,20.49
853,19.73
854,35.11
855,43.03
856,53.3
857,42.49
858,34.6
859,33.65
860,37.63
861,47.67
862,57.93
863,51.41
864,64.06
865,73.96
866,84.18
867,97.63
868,97.3
869,100.0
870,95.04
871,69.94
872,71.27
873,73.2
874,70.79
875,52.28
876,56.88
877,56.48
878,47.06
879,55.24
