idx,RSI
9,52.88
10,72.03
11,71.6
12,65.78
13,49.94
14,27.28
15,37.36
16,37.48
17,24.59
18,7.5
19,29.47
20,35.6
21,37.99
22,44.98
23,59.2
24,56.14
25,64.78
26,54.33
27,73.92
28,46.78
29,40.51
30,46.89
31,33.4
32,33.93
33,24.69
34,18.69
35,29.0
36,24.36
37,26.42
38,33.36
39,36.52
40,46.75
41,47.55
42,76.79
43,65.09
44,48.38
45,54.13
46,69.47
47,64.05
48,55.36
49,44.18
50,52.56
51,60.21
52,65.94
53,75.03
54,77.9
55,74.77
56,80.09
57,84.5
58,93.9
59,83.85
60,73.79
61,59.79
62,67.11
63,56.52
64,46.96
65,24.33
66,35.76
67,46.36
68,48.35
69,46.11
70,40.96
71,27.8
72,13.98
73,30.65
74,41.64
75,36.52
76,34.63
77,35.59
78,46.17
79,48.92
80,54.64
81,75.05
82,70.58
83,51.62
84,46.16
85,42.18
86,50.78
87,30.82
88,31.84
89,24.36
90,37.02
91,36.03
92,51.7
93,65.8
94,60.99
95,51.42
96,45.3
97,46.78
98,47.38
99,47.51
100,39.04
101,25.56
102,38.08
103,41.83
104,53.15
105,69.29
106,68.02
107,74.91
108,73.04
109,76.88
110,76.26
111,60.08
112,67.64
113,59.76
114,50.81
115,48.34
116,63.11
117,52.21
118,58.96
119,48.01
120,48.11
121,43.57
122,41.19
123,39.09
124,39.75
125,34.04
126,46.9
127,36.67
128,52.1
129,65.8
130,59.41
131,63.99
132,66.4
133,75.06
134,75.51
135,71.75
136,77.13
137,64.22
138,60.38
139,52.47
140,41.95
141,40.88
142,31.95
143,22.3
144,17.22
145,26.24
146,32.85
147,25.24
148,37.81
149,49.37
150,52.13
151,65.92
152,61.33
153,73.61
154,73.81
155,77.12
156,71.76
157,64.24
158,66.3
159,56.92
160,58.88
161,64.8
162,78.38
163,75.58
164,63.93
165,77.49
166,77.97
167,57.3
168,73.44
169,70.99
170,57.1
171,40.21
172,46.28
173,42.9
174,34.81
175,33.57
176,39.01
177,23.46
178,16.21
179,14.82
180,31.93
181,20.86
182,22.31
183,23.73
184,23.01
185,17.39
186,18.09
187,46.3
188,46.09
189,36.41
190,35.91
191,42.16
192,43.49
193,36.72
194,38.37
195,33.87
196,8.66
197,7.77
198,31.8
199,33.92
200,26.3
201,24.39
202,45.02
203,48.75
204,52.3
205,59.84
206,60.4
207,46.11
208,51.78
209,68.16
210,77.8
211,63.7
212,63.37
213,63.11
214,64.07
215,87.99
216,70.33
217,59.86
218,36.31
219,12.19
220,34.92
221,34.79
222,30.92
223,27.23
224,23.17
225,29.15
226,26.34
227,41.91
228,49.19
229,30.99
230,30.42
231,28.22
232,29.4
233,42.12
234,59.19
235,59.15
236,50.6
237,56.28
238,63.44
239,58.75
240,64.87
241,57.55
242,46.61
243,31.86
244,33.66
245,27.26
246,19.75
247,29.13
248,34.28
249,41.4
250,47.99
251,52.67
252,38.94
253,59.3
254,67.24
255,55.25
256,47.42
257,46.23
258,45.87
259,48.13
260,49.55
261,63.28
262,41.12
263,56.89
264,78.86
265,81.6
266,84.25
267,82.53
268,71.41
269,77.59
270,77.97
271,79.98
272,64.31
273,73.77
274,53.7
275,46.0
276,41.89
277,39.45
278,36.75
279,23.47
280,28.1
281,27.06
282,20.74
283,36.56
284,24.93
285,20.86
286,19.0
287,19.85
288,21.62
289,25.45
290,25.81
291,23.05
292,17.55
293,20.33
294,30.88
295,49.15
296,54.9
297,60.68
298,32.52
299,22.51
300,35.0
301,28.16
302,32.22
303,25.6
304,28.63
305,22.16
306,19.25
307,21.76
308,38.42
309,36.73
310,54.6
311,44.67
312,49.25
313,46.81
314,51.08
315,45.38
316,45.74
317,52.99
318,44.06
319,37.89
320,54.06
321,54.9
322,56.15
323,59.51
324,78.37
325,84.85
326,81.78
327,88.55
328,77.45
329,64.45
330,69.77
331,67.34
332,72.67
333,68.81
334,61.41
335,56.28
336,52.38
337,68.07
338,75.7
339,68.41
340,61.94
341,51.52
342,47.5
343,35.88
344,35.4
345,73.25
346,67.16
347,72.18
348,81.22
349,83.45
350,66.86
351,74.98
352,63.53
353,57.93
354,31.7
355,34.45
356,35.3
357,25.16
358,37.71
359,40.32
360,41.98
361,43.39
362,43.12
363,54.86
364,41.78
365,30.27
366,24.26
367,9.13
368,15.19
369,18.77
370,34.15
371,33.72
372,30.28
373,34.86
374,43.34
375,57.83
376,61.15
377,65.14
378,57.92
379,37.76
380,30.62
381,39.13
382,33.46
383,34.89
384,42.15
385,46.4
386,35.91
387,42.38
388,45.31
389,62.03
390,56.19
391,54.75
392,46.39
393,41.9
394,44.4
395,51.63
396,44.66
397,51.9
398,50.5
399,55.45
400,65.05
401,70.03
402,62.19
403,35.19
404,32.14
405,39.46
406,34.06
407,26.6
408,17.77
409,24.27
410,22.24
411,27.97
412,30.73
413,38.09
414,30.67
415,46.63
